BACIA	1	2	3	4	5	6	7	8	9	10	11	12
GRANDE	9100	8852	7947	5595	4047	3383	2759	2278	2308	2681	3711	6243
PARANAÍBA	8983	9291	9125	6920	4552	3535	2854	2326	2104	2521	3909	6604
TIETÊ	1476	1571	1363	918	725	727	582	499	528	620	673	1004
PARANAPANEMA	2466	2583	2147	1604	1621	1802	1622	1326	1469	1813	1667	1822
ALTO PARANÁ	5435	5707	5468	4114	2853	2366	1937	1633	1563	1789	2414	3844
BAIXO PARANÁ	17293	18711	17589	13911	11064	10280	8690	7273	7298	8666	9659	12904
ALTO TIETÊ	364	371	334	231	178	165	139	122	165	206	213	281
PARAÍBA DO SUL	1565	1575	1536	1290	1018	859	724	614	625	752	1001	1330
ITABAPOANA	105	77	76	62	43	34	30	25	24	33	63	98
MUCURI	80	56	55	48	33	28	27	23	20	28	56	83
DOCE	1675	1318	1172	893	657	553	485	429	418	519	883	1458
PARAGUAI	642	702	697	567	446	393	362	339	339	370	424	524
IGUAÇU	4028	4345	3880	3318	4163	5172	5029	4113	4817	6285	4755	3917
JACUÍ	568	578	478	603	819	1054	1221	1210	1374	1317	871	685
URUGUAI	2464	2992	2391	2459	3395	3957	4549	4586	5337	5468	3473	2593
CAPIVARI	166	179	157	118	113	111	110	95	119	134	127	135
ITAJAÍ-AÇU	205	240	188	136	166	176	211	232	284	308	205	172
SÃO FRANCISCO	13809	14591	14400	11693	7085	4686	3848	3349	3003	3262	5233	9706
PARNAÍBA	241	267	283	249	162	113	97	89	87	106	147	195
PARAGUAÇU	149	145	143	120	73	50	50	40	28	33	87	182
JEQUITINHONHA	1090	766	659	436	249	194	162	136	127	218	626	1148
TOCANTINS	14221	18045	19833	18137	11190	5664	3521	2560	2153	2656	4622	8938
AMAZONAS	10930	13861	15652	14629	11075	7725	5063	3298	2534	2933	4539	7386
ARAGUARI	254	480	732	904	971	764	565	379	219	132	94	110
XINGU	5653	9013	10270	10086	8850	4521	1538	658	363	421	972	2476
