,bacia,gpm,psat,pdp
0PSATIBT,Paranazao,0.0,0.0,0.0
0PSATITP,Paranazao,0.0,0.0,0.0
0PSATNAV,Paranazao,0.0,0.0,0.0
0PSATCHT,Paranazao,0.0,0.0,0.0
0PSATCNI,Paranazao,0.0,0.0,0.0
PSATFZBT,Paranazao,0.0,0.0,0.0
0PSATCPV,Paranazao,0.0,0.0,0.0
0PSATMAU,Paranazao,0.0,0.0,0.0
0PSATIVM,Paranazao,0.0,0.0,0.0
0PSATJUR,Paranazao,0.0,0.0,0.0
0PSATFLE,Paranazao,0.0,0.0,0.0
0PSATJUP,Paranazao,0.0,0.0,0.0
PSATISOT,Paranazao,0.0,0.0,0.0
0PSATSDG,Paranazao,0.0,0.0,0.0
0PSATESZ,Paranazao,0.0,0.0,0.0
0PSATBSM,Paranazao,0.0,0.0,0.0
0PSATROS,Paranazao,0.0,0.0,0.0
0PSATPTQ,Paranazao,0.0,0.0,0.0
PSATPPRA,Paranazao,0.0,0.1,0.1
0PSATBBO,Paranazao,0.0,0.0,0.0
0PSATPTP,OSE,0.0,0.0,0.0
0PSATJAG,OSE,0.1,0.0,0.0
0PSATITQ,OSE,0.0,0.0,0.0
PSATSTCL,OSE,0.6,0.2,0.2
0PSATCAN,OSE,0.0,0.0,0.0
PSATSACE,OSE,0.0,0.0,0.0
0PSATJAU,OSE,0.0,0.0,0.0
0PSATMAS,OSE,0.0,0.1,0.1
PSATSUIC,OSE,1.5,1.1,1.1
0PSATPES,OSE,0.0,0.0,0.0
0PSATMAN,OSE,0.0,0.0,0.0
PSATTCLJ,OSE,0.1,0.1,0.1
0PSATSBR,OSE,0.3,0.1,0.1
PSATFUNI,OSE,0.1,0.1,0.1
PSATIPSI,OSE,0.0,0.1,0.1
PSATSOGI,OSE,0.1,0.2,0.2
PSATBRAU,OSE,0.0,0.1,0.1
0PSATSAC,OSE,0.0,0.0,0.0
PSATROSA,OSE,0.6,0.5,0.5
0PSATPIC,OSE,0.1,0.0,0.0
0PSATPTC,GRD_PRNB,0.0,0.0,0.0
0PSATESP,GRD_PRNB,0.0,0.0,0.0
0PSATFUR,GRD_PRNB,0.0,0.0,0.0
0PSATSFC,GRD_PRNB,0.0,0.0,0.0
PSATFRCL,GRD_PRNB,0.0,0.0,0.0
PSATCBIV,GRD_PRNB,0.0,0.0,0.0
PSATIMBR,GRD_PRNB,0.0,0.0,0.0
0PSATPAS,GRD_PRNB,0.0,0.0,0.0
