,bacia,gpm,psat,pdp
CAPIVARA,Paranazao,8.01,8.01,8.01
ILHAEQUIV,Paranazao,154.34,154.34,154.34
IVINHEMA,Paranazao,151.51,151.51,151.51
BBONITA,Paranazao,113.37,113.37,113.37
ITAIPU,Paranazao,267.37,267.37,267.37
NAVANHANDA,Paranazao,52.01,52.01,52.01
PTAQUARA,Paranazao,219.98,219.98,219.98
CHAVANTES,Paranazao,35.18,35.18,35.17
FLOR+ESTRA,Paranazao,132.23,132.23,132.23
ROSANA,Paranazao,109.9,109.9,109.9
MAUA,Paranazao,153.2,153.2,153.2
PPRI,Paranazao,127.96,127.96,127.96
ESOUZA,Paranazao,55.42,55.42,55.42
JUPIA,Paranazao,219.87,219.87,219.87
IBITINGA,Paranazao,50.86,50.86,50.86
FZB,Paranazao,236.64,236.64,236.64
BALSA,Paranazao,144.0,144.0,144.0
SDO,Paranazao,83.02,83.02,83.02
CANOASI,Paranazao,41.56,41.56,41.56
JURUMIRIM,Paranazao,51.07,51.07,51.07
JAURU,OSE,52.33,52.33,52.33
MANSO,OSE,34.75,34.75,34.75
FUNIL,OSE,54.6,54.6,54.6
ITIQUIRAI,OSE,39.09,39.09,39.09
ROSAL,OSE,11.78,11.78,11.78
STABRANCA,OSE,33.95,33.95,33.95
LAJESTOCOS,OSE,7.47,7.47,7.47
SCLARA,OSE,6.53,6.53,6.53
ILHAP,OSE,75.46,75.46,75.46
STACECILIA,OSE,26.6,26.6,26.6
SACARV,OSE,27.47,27.47,27.47
SUICA,OSE,2.83,2.83,2.83
PICADA,OSE,12.72,12.72,12.72
BBRAUNA,OSE,37.45,37.45,37.45
SOBRAGI,OSE,14.68,14.68,14.68
CANDONGA,OSE,41.45,41.45,41.45
PTOESTRELA,OSE,27.96,27.96,27.96
MASCARENHA,OSE,144.62,144.62,144.62
PDEPEDRA,OSE,59.73,59.73,59.73
JAGUARI,OSE,11.45,11.45,11.45
CORUMBAIV,GRD_PRNB,33.76,33.76,33.76
FUNIL MG,GRD_PRNB,47.86,47.86,47.86
SSIMAO2,GRD_PRNB,171.04,171.04,171.04
NOVAPONTE,GRD_PRNB,75.26,75.26,75.26
PARAGUACU,GRD_PRNB,59.0,59.0,59.0
SDOFACAO,GRD_PRNB,38.2,38.2,38.2
ESPORA,GRD_PRNB,38.27,38.27,38.27
RVERDE,GRD_PRNB,142.92,142.92,142.92
FURNAS,GRD_PRNB,39.26,39.26,39.26
EDACUNHA,GRD_PRNB,25.63,25.63,25.63
FOZCLARO,GRD_PRNB,82.66,82.66,82.66
PASSAGEM,GRD_PRNB,63.0,63.0,63.0
CORUMBA1,GRD_PRNB,79.54,79.54,79.54
SALTOVERDI,GRD_PRNB,86.44,86.44,86.44
MARIMBONDO,GRD_PRNB,101.21,101.21,101.21
CAPESCURO,GRD_PRNB,30.0,30.0,30.0
ITUMBIARA,GRD_PRNB,75.68,75.68,75.68
EMBORCACAO,GRD_PRNB,77.48,77.48,77.48
PBUENOS,GRD_PRNB,33.0,33.0,33.0
CAMARGOS,GRD_PRNB,34.64,34.64,34.64
AVERMELHA,GRD_PRNB,90.34,90.34,90.34
PCOLOMBIA,GRD_PRNB,46.25,46.25,46.25
ESTREITO,Norte,214.63,214.63,214.63
PIMENTALT,Norte,1164.99,1164.99,1164.99
CURUAUNA,Norte,163.59,163.59,163.59
PORTO REAL,Norte,254.22,254.22,254.22
FGOMES,Norte,765.35,765.35,765.35
SAMUEL,Norte,48.67,48.67,48.67
S.ANTONIO,Norte,25.41,25.41,25.41
SMANOEL,Norte,201.65,201.65,201.65
STOANTJARI,Norte,804.85,804.85,804.85
TUCURUI,Norte,34.22,34.22,34.22
SMESA,Norte,150.82,150.82,150.82
P_DA_BEIRA,Norte,296.61,296.61,296.61
GUAJ-MIRIM,Norte,1434.86,1434.86,1434.86
C.ARAGUAIA,Norte,444.69,444.69,444.69
LAJEADO,Norte,262.86,262.86,262.86
RONDONII,Norte,48.89,48.89,48.89
DARDANELOS,Norte,48.2,48.2,48.2
BALBINA,Norte,155.01,155.01,155.01
JIRAU2,Norte,2568.93,2568.93,2568.93
GUAPORE,Norte,26.88,26.88,26.88
BANDEIRANT,Norte,212.05,212.05,212.05
COLIDER,Norte,379.98,379.98,379.97
SRM2,NE,59.83,59.83,59.83
IRAPE,NE,13.51,13.51,13.51
UBESP,NE,201.75,201.75,201.75
RB-SMAP,NE,30.4,30.4,30.4
QM,NE,18.09,18.09,18.09
ITAPEBI,NE,10.43,10.43,10.43
SFR2,NE,14.96,14.96,14.96
PCAVALO,NE,21.17,21.17,21.17
TM-SMAP,NE,58.34,58.34,58.34
BOQ,NE,157.0,157.0,157.0
MACHADINHO,Sul,157.54,157.54,157.54
ITA,Sul,138.0,138.0,138.0
PASSOREAL,Sul,200.71,200.71,200.71
CN,Sul,507.31,507.31,507.31
DFRANC,Sul,44.38,44.38,44.38
SJOAO,Sul,230.72,230.72,230.72
JORDSEG,Sul,202.92,202.92,202.93
SALTOPILAO,Sul,109.92,109.92,109.92
FOA,Sul,301.18,301.18,301.17
BG,Sul,196.42,196.42,196.42
MONJOLINHO,Sul,69.8,69.8,69.8
STACLARA,Sul,105.36,105.36,105.36
BAIXOIG,Sul,573.4,573.4,573.4
ERNESTINA,Sul,26.59,26.59,26.59
CALVES,Sul,87.15,87.15,87.15
QQUEIXO,Sul,130.21,130.21,130.21
FOZCHAPECO,Sul,191.47,191.47,191.47
GPSOUZA,Sul,20.11,20.11,20.11
UVITORIA,Sul,766.14,766.14,766.14
14JULHO,Sul,81.37,81.37,81.37
