                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA              BATALHA            CORUMBA-3           EMBORCAÇÃO           NOVA PONTE           C.BRANCO-2            ITUMBIARA           C. DOURADA            SÃO SIMÃO               ESPORA            CORUMBA-4              MIRANDA           C.BRANCO-1              CORUMBA             FUNIL-MG         S.R.VERDINHO                 CACU          B.COQUEIROS           S.DO FACÃO     FOZ DO RIO CLARO                SALTO
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  022                  023                  024                  025                  028                  031                  032                  033                  099                  205                  206                  207                  209                  211                  241                  247                  248                  251                  261                  294
                            VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNA                  VNI                  VNI                  VNI                  VNI                  VNA                  VNA                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI
24/10/2024               107.38                 0.00               438.51                72.04                16.62                 6.88                19.68                43.95                74.34                19.41                12.41                 0.43               162.96               278.61                33.39                13.94                71.57               181.22                 1.71               134.12                66.57               684.37                47.60               124.53                 5.69                 0.71               125.48               119.55                 8.49               105.59                 4.37                20.91                 8.15               101.81
25/10/2024               104.17                 0.00               422.51                72.03                16.62                 6.88                19.68                43.95                71.00                25.89                16.55                 0.41               156.03               257.70                31.55                12.01                81.33               189.14                 1.54               120.69                66.51               673.15                46.63               132.20                 5.12                 0.64               108.08               119.87                 8.06               101.60                 4.21                19.75                 7.84                96.64
26/10/2024                96.67                 0.00               440.44                72.95                16.84                 6.97                19.93                44.51                71.53                41.99                26.84                 0.49               177.47               244.52                28.76                10.60                85.96               178.51                 1.81               141.97                66.59               667.73                46.04               125.99                 6.02                 0.75                95.37               132.03                 7.85                96.61                 4.00                18.01                 7.46                94.16
27/10/2024                92.09                 0.00               474.00                78.31                18.07                 7.48                21.39                47.77                75.71                51.78                33.11                 0.61               214.78               243.37                28.70                10.89                89.35               183.99                 1.70               133.50                70.53               706.30                45.93               117.79                 5.66                 0.71                98.02               131.66                 7.95               101.52                 4.20                17.96                 7.84                95.25
28/10/2024                86.20                 0.00               473.46                79.93                18.44                 7.63                21.84                48.76                76.24                51.78                33.10                 0.66               236.94               243.88                32.05                14.82               105.69               203.90                 1.64               128.61                71.98               734.72                46.84               115.56                 5.46                 0.68               133.35               131.40                 8.29               108.70                 4.50                20.07                 8.39                99.39
29/10/2024                80.29                 0.00               465.54                87.07                20.09                 8.31                23.79                53.12                77.97                47.49                30.37                 0.65               237.01               242.71                39.79                22.25               132.37               227.22                 1.88               148.13                90.92               926.56                47.89               122.64                 6.28                 0.79               200.28               123.93                 8.63               119.03                 4.93                24.91                 9.19               103.39
30/10/2024                77.54                 0.00               450.93                91.29                21.07                 8.72                24.94                55.69                77.87                42.21                26.98                 0.62               227.85               239.60                40.73                25.36               147.42               234.67                 2.31               181.50                92.05               983.84                49.38               134.73                 7.70                 0.96               228.24               123.33                 8.64               123.00                 5.09                25.50                 9.49               103.57
31/10/2024                74.02                 0.00               427.56                87.45                20.18                 8.35                23.89                53.35                73.35                36.41                23.28                 0.57               211.21               232.77                38.72                23.52               152.34               218.64                 2.17               170.61                85.69               977.26                49.87               147.90                 7.24                 0.90               211.72               123.87                 8.54               121.47                 5.03                24.24                 9.38               102.35
01/11/2024                70.90                 0.00               401.14                82.20                18.97                 7.85                22.46                50.15                68.01                30.57                19.55                 0.50               190.44               221.68                35.76                23.51               151.34               192.91                 1.93               151.33                80.66               959.96                49.13               158.71                 6.42                 0.80               211.63               118.32                 8.55               112.69                 4.66                22.38                 8.70               102.54
02/11/2024                69.94                 0.00               374.59                78.25                18.06                 7.47                21.38                47.74                63.66                25.71                16.43                 0.45               172.09               205.93                37.10                24.91               161.97               180.45                 1.84               144.84                86.36              1021.43                48.05               167.15                 6.14                 0.77               224.15               114.94                 8.98               115.45                 4.78                23.23                 8.91               107.70
