                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO              ITAPEBI      PEDRA DO CAVALO                IRAPE
                            155                  156                  158                  188                  254                  255
                            VNA                  VNI                  VNA                  VNI                  VNA                  VNA
24/10/2024                47.67               118.92                14.83                20.00                16.98                71.06
25/10/2024                45.09               123.33                14.34                22.22                15.61                85.44
26/10/2024                41.60               121.40                13.82                18.62                13.66                98.40
27/10/2024                43.49               145.91                13.69                15.11                12.12               112.84
28/10/2024                55.53               206.99                14.94                12.98                10.89               124.24
29/10/2024                76.27               265.81                16.55                13.09                 9.91               161.39
30/10/2024                88.92               328.99                17.95                13.71                 9.13               228.75
31/10/2024               107.31               380.48                21.10                14.73                 8.51               298.87
01/11/2024               123.48               415.01                23.51                22.43                 8.01               337.36
02/11/2024               131.28               456.01                24.69                36.14                 7.62               343.79
03/11/2024               144.16               520.75                25.56                54.69                 7.30               336.19
04/11/2024               160.80               584.45                26.21                73.44                 7.05               324.63
05/11/2024               178.28               632.12                25.96                80.53                 6.85               319.48
06/11/2024               188.58               657.14                25.66                81.16                 6.69               315.83
07/11/2024               196.02               663.35                25.86                87.58                 6.55               312.24
08/11/2024               200.44               703.28                25.15                91.88                 6.45               319.17
09/11/2024               210.23               742.47                26.07                89.92                 6.71               401.01
10/11/2024               211.67               721.03                32.36                91.94                 9.38               540.03
11/11/2024               206.90               686.16                32.32               115.27                12.42               554.74
12/11/2024               195.30               629.13                29.49               141.46                16.03               466.75
13/11/2024               174.48               571.73                26.60               159.87                18.11               373.79
14/11/2024               151.16               519.34                23.72               156.19                19.15               306.63
15/11/2024               132.40               474.99                21.88               126.44                28.77               267.26
16/11/2024               117.31               437.86                19.71               100.55                59.00               227.53
17/11/2024               106.94               427.73                19.06                80.01                65.32               248.02
18/11/2024               106.62               495.88                21.28                68.49                56.99               360.59
19/11/2024               113.64               521.05                21.45                77.47                53.29               539.99
20/11/2024               135.26               526.09                29.60               137.80                49.05               685.79
21/11/2024               152.68               506.81                29.87               257.01                44.92               819.30
22/11/2024               160.94               496.98                28.55               402.62                44.89               865.96
23/11/2024               172.77               498.64                34.38               521.94                52.11               890.63
24/11/2024               193.27               511.27                35.12               535.95                56.98               972.38
25/11/2024               195.02               512.28                34.86               515.29                74.07              1041.02
26/11/2024               199.61               488.33                34.56               502.41                68.96              1086.15
27/11/2024               200.46               452.81                35.60               519.87                55.94              1154.50
28/11/2024               182.41               420.94                33.89               606.26                45.60              1131.08
29/11/2024               161.20               387.37                32.40               684.17                37.39               957.56
30/11/2024               143.96               357.15                30.61               656.31                30.88               696.80
01/12/2024               130.05               330.24                30.78               574.73                25.70               501.39
02/12/2024               118.97               316.29                29.90               474.93                21.60               388.60
03/12/2024               109.66               298.68                28.01               380.11                18.33               315.97
04/12/2024               103.13               288.14                26.32               303.03                15.78               263.59
05/12/2024                97.63               272.98                24.90               241.53                13.71               222.05
06/12/2024                93.37               254.95                23.58               192.77                12.07               189.10
07/12/2024                95.98               287.60                22.58               154.11                10.76               164.07
08/12/2024               109.87               352.73                21.82               123.46                 9.72               156.40
09/12/2024               119.40               396.92                22.06                99.17                 8.90               170.39
