                     CANA BRAVA  CACHOEIRA CALDEIRAO         SAO SALVADOR        PEIXE ANGICAL              BALBINA        SERRA DA MESA             ESTREITO              LAJEADO              TUCURUI            CURUA-UNA        COARACY NUNES       FERREIRA GOMES
                            191                  204                  253                  257                  269                  270                  271                  273                  275                  277                  280                  297
                            VNI                  VNI                  VNI                  VNI                  VNA                  VNA                  VNI                  VNI                  VNI                  VNA                  VNI                  VNI
24/10/2024                23.57               104.92                23.15               182.67                58.48               358.20               796.36               191.50               510.73               118.37                 0.32                 0.85
25/10/2024                21.27               103.31                20.89               164.83                56.31               285.26               781.94               172.80               504.17               117.08                 0.31                 0.84
26/10/2024                19.90               101.73                19.55               154.26                54.30               225.62               718.36               161.72               502.47               115.85                 0.31                 0.82
27/10/2024                19.43               100.18                19.09               150.62                52.53               240.52               645.47               157.90               503.85               114.66                 0.30                 0.81
28/10/2024                19.05                98.64                18.71               147.60                50.84               278.18               587.46               154.75               507.96               113.52                 0.30                 0.80
29/10/2024                18.87                97.14                18.53               146.22                49.14               357.58               540.94               153.30               517.22               112.43                 0.29                 0.79
30/10/2024                23.54                95.65                23.12               182.44                47.54               444.14               510.92               191.27               563.61               111.37                 0.29                 0.77
31/10/2024                38.67                94.19                37.98               299.68                46.13               652.18               504.52               314.18               596.70               110.35                 0.29                 0.76
01/11/2024                54.31                92.75                53.34               420.89                45.58               841.35               537.61               441.25               614.16               109.38                 0.28                 0.75
02/11/2024                55.67                91.33                54.68               431.47                45.80               945.71               590.26               452.35               631.30               108.44                 0.28                 0.74
03/11/2024                51.46                89.94                50.54               398.83                47.10               913.40               621.80               418.13               657.66               107.52                 0.27                 0.73
04/11/2024                47.57                88.56                46.72               368.65                48.75               849.50               621.91               386.49               702.30               106.70                 0.27                 0.72
05/11/2024                45.53                87.21                44.72               352.85                51.10               857.50               596.53               369.92               746.97               106.24                 0.26                 0.71
06/11/2024                46.55                85.87                45.72               360.78                55.33               936.31               582.51               378.24               793.31               106.17                 0.26                 0.69
07/11/2024                47.62                84.56                46.77               369.04                56.25              1166.25               569.59               386.90               810.70               106.00                 0.26                 0.68
08/11/2024                45.35                83.26                44.54               351.43                57.21              1093.08               559.14               368.44               824.79               105.23                 0.25                 0.67
09/11/2024                40.80                82.00                40.08               316.24                55.40               949.44               533.14               331.54               835.20               104.35                 0.25                 0.66
10/11/2024                42.55                80.74                41.80               329.80                53.61               753.97               508.13               345.76               851.42               103.47                 0.24                 0.65
