                        JAGUARI            PARAIBUNA         SANTA BRANCA                FUNIL        SANTA CECILIA                 ANTA          ILHA POMBOS      SALTO GRANDE CM         BARRA BRAUNA              BAGUARI          MASCARENHAS              AIMORES             CANDONGA          SA CARVALHO                ROSAL               PICADA              SOBRAGI               SUIÇA           ITIQUIRA I        GUILM. AMORIM        PORTO ESTRELA                MANSO       PONTE DE PEDRA         STA.CLARA-MG                JAURU                TOCOS                LAJES              SANTANA
                            120                  121                  122                  123                  125                  129                  130                  134                  135                  141                  144                  148                  149                  184                  196                  197                  198                  213                  259                  262                  263                  278                  281                  283                  295                  201                  202                  203
                            VNA                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNA                  VNI                  VNI                  VNI                  VNA                  VNI                  VNA                  VNA                  VNI                  VNA                  VNA                  VNI                  VNI                  VNA                  VNA                  VNA                  VNA                  VNA                  VNA                  VNA
24/10/2024                18.04                83.46                12.14                99.36                39.16               142.19                57.80                83.41                76.00                62.84                48.10                26.87               194.24                 1.08                11.86                29.00                35.55                 4.41                39.93                47.87                 0.00                56.23                62.31                14.37                56.53                10.70                 5.03                15.68
25/10/2024                20.35                88.20                12.83                93.51                37.03               134.48                54.66               103.87                61.99                58.18                44.53                24.88               145.35                 0.92                11.06                24.70                34.85                 3.88                38.62                40.70                 0.00                54.37                61.81                12.32                55.53                 6.04                 2.84                 8.85
26/10/2024                21.51                91.41                13.30                97.55                39.66               155.47                63.19               152.92                70.04                54.46                41.68                23.29               141.14                 0.97                10.43                22.35                33.85                 3.46                38.74                42.95                 0.00                56.42                61.75                 9.79                54.82                 7.62                 3.59                11.18
27/10/2024                20.01                86.93                12.65               112.22                38.22               168.73                68.58               245.76                90.23                53.42                40.88                22.84               182.87                 1.43                11.21                21.32                41.36                 3.85                39.42                63.70                 0.00                62.02                61.82                 7.85                60.08                11.37                 5.35                16.67
28/10/2024                18.43                76.34                11.11               108.56                36.35               159.95                65.01               314.14               106.69                89.71                68.66                38.36               227.00                 1.88                14.45                19.98                37.92                 6.65                41.36                83.43                 0.00                63.05                62.02                 7.06                61.11                 7.66                 3.61                11.24
29/10/2024                17.40                72.45                10.54               100.41                35.68               147.38                59.91               270.82                91.86               176.23               134.88                75.36               254.36                 2.10                14.33                18.49                34.47                 5.77                42.29                93.23                 0.00                63.78                61.98                 9.06                60.52                 5.09                 2.39                 7.46
30/10/2024                16.36                66.03                 9.61               100.59                35.80               145.05                58.96               277.96                78.38               209.95               160.69                89.78               234.14                 2.02                13.06                18.23                35.27                 5.37                42.90                89.90                 0.00                66.38                61.55                 8.40                60.58                 5.51                 2.59                 8.08
31/10/2024                15.36                60.75                 8.84                96.55                35.98               146.48                59.54               364.95                79.08               204.82               156.76                87.59               210.06                 1.94                15.71                18.81                35.73                 5.67                42.92                86.25                 0.00                67.13                60.93                12.84                60.16                 6.63                 3.12                 9.72
01/11/2024                14.21                54.73                 7.96                89.40                34.47               139.92                56.88               393.67                83.07               220.05               168.42                94.10               212.67                 2.21                19.95                19.94                34.47                 5.91                41.65                98.30                 0.00                66.15                60.14                31.01                59.43                 5.35                 2.52                 7.85
02/11/2024                13.95                53.97                 7.85                82.42                35.28               137.24                55.79               375.74                85.83               244.28               186.96               104.46               229.44                 2.42                18.23                22.04                34.48                 5.30                41.28               107.41                 0.00                65.86                59.77                45.24                60.43                 5.24                 2.46                 7.68
03/11/2024                14.40                52.56                 7.65                81.68                37.24               141.07                57.34               348.23                87.27               238.71               182.70               102.08               232.49                 2.45                17.91                24.73                36.01                 5.42                40.47               109.00                 0.00                63.90                59.63                41.33                60.75                 6.56                 3.08                 9.61
04/11/2024                14.42                51.13                 7.44                82.95                38.38               144.97                58.92               313.36                90.43               234.60               179.55               100.32               230.58                 2.41                19.92                26.79                36.14                 4.87                39.51               107.17                 0.00                61.82                59.97                47.08                60.22                 6.67                 3.14                 9.78
05/11/2024                13.91                48.70                 7.08                81.85                38.17               146.11                59.39               285.48                88.19               226.17               173.10                96.72               226.17                 2.21                19.75                27.35                36.32                 4.40                38.64                98.40                 0.00                60.96                59.99                46.88                59.44                 6.11                 2.87                 8.95
06/11/2024                13.37                47.03                 6.84                78.41                38.48               142.96                58.11               263.27                81.29               208.57               159.63                89.19               207.90                 2.06                18.83                27.86                35.76                 4.18                38.32                91.49                 0.00                61.92                60.14                44.27                58.92                 5.79                 2.73                 8.49
07/11/2024                14.01                48.21                 7.01                78.97                38.44               131.71                53.54               221.13                71.77               203.09               155.44                86.85               181.61                 1.89                17.50                27.84                34.02                 4.42                38.70                83.96                 0.00                77.45                62.58                53.83                58.72                 5.25                 2.47                 7.70
08/11/2024                21.33                56.77                 8.26                83.55                50.99               163.10                66.30               176.61                71.90               192.70               147.48                82.40               166.78                 1.70                15.31                27.76                33.65                 3.91                37.69                75.78                 0.00                89.62                62.82                56.24                57.92                 7.61                 3.58                11.16
09/11/2024                19.63                52.50                 7.64               107.53                48.06               185.59                75.43               213.25               102.20               180.15               137.88                77.04               166.33                 1.60                18.72                29.51                39.28                 3.57                36.45                71.02                 0.00                82.96                62.36                43.96                57.07                13.93                 6.55                20.42
10/11/2024                17.83                48.00                 6.98                97.90                44.00               174.74                71.02               309.07               154.83               202.15               154.72                86.45               192.52                 1.78                39.15                27.12                34.20                 8.94                35.34                79.18                 0.00                78.43                61.38                46.54                59.73                 8.04                 3.79                11.79
11/11/2024                16.23                43.65                 6.35                87.98                40.03               147.50                59.95               274.17               137.35               317.02               242.63               135.57               218.43                 1.86                42.20                23.01                29.33                 8.12                34.25                82.48                 0.00                74.90                60.52                79.03                61.33                 5.70                 2.68                 8.35
12/11/2024                14.87                40.20                 5.85                78.68                36.25               125.66                51.07               212.06               101.02               376.51               288.16               161.01               181.57                 1.57                34.42                20.10                25.91                 6.87                33.37                70.01                 0.00                94.82                59.79                64.96                65.37                 4.83                 2.27                 7.08
13/11/2024                14.03                37.92                 5.52                70.56                33.31               109.79                44.63               167.28                76.68               338.07               258.75               144.57               144.30                 1.35                28.33                18.07                23.61                 5.88                32.61                59.84                 0.00               128.09                59.46                53.62                64.45                 4.64                 2.18                 6.80
14/11/2024                15.23                44.16                 6.42                64.90                48.37               101.52                41.26               135.14                61.22               281.65               215.56               120.44               120.51                 1.16                23.68                17.35                22.17                 5.09                32.89                51.64                 0.00               119.00                59.30                41.58                62.84                 4.80                 2.26                 7.04
15/11/2024                14.14                43.17                 6.28                80.42                46.28               100.03                40.66               113.67                51.52               234.33               179.35               100.21               105.35                 1.01                20.14                25.82                23.85                 4.47                32.83                45.07                 0.00               112.87                59.41                30.25                61.86                 5.35                 2.52                 7.85
16/11/2024                13.11                41.65                 6.06                73.57                43.94                96.87                39.38               139.84                46.52               196.18               150.15                83.89                95.70                 0.91                19.21                30.06                22.95                 3.97                34.09                40.57                 0.00               149.58                59.39                22.24                60.48                 5.29                 2.49                 7.76
17/11/2024                12.24                39.11                 5.69                66.82                40.90                89.81                36.50               201.64                43.31               169.68               129.87                72.56                90.47                 0.95                23.42                25.60                21.66                 6.30                35.49                42.23                 0.00               204.51                59.36                16.57                63.45                 5.56                 2.62                 8.16
18/11/2024                11.51                37.05                 5.39                60.85                39.06                84.69                34.42               229.98                40.34               191.84               146.83                82.04                88.71                 1.28                24.15                22.27                20.87                 5.51                35.84                56.73                 0.00               195.83                58.96                63.08                64.74                 4.96                 2.34                 7.28
19/11/2024                10.90                35.70                 5.19                56.59                43.52               105.75                42.99               236.71                48.42               254.96               195.13               109.03                96.87                 1.81                26.16                22.34                23.87                 5.95                35.74                80.40                 0.00               178.62                58.44                61.95                63.26                 4.92                 2.31                 7.21
20/11/2024                10.38                33.97                 4.94                57.10                39.16               125.46                50.99               211.24                94.43               311.44               238.36               133.18               126.21                 2.37                34.44                27.12                39.83                 6.63                34.71               105.21                 0.00               162.93                57.97               140.71                61.70                 4.88                 2.30                 7.16
21/11/2024                 9.95                32.64                 4.75                52.13                35.09               122.88                49.94               219.57               140.45               357.49               273.61               152.88               176.75                 2.59                35.22                26.88                36.79                 6.95                34.01               115.19                 0.00               150.46                57.57               197.27                60.44                 4.62                 2.17                 6.77
22/11/2024                18.41                47.28                 6.88                48.42                54.36               145.55                59.16               244.71               121.52               357.22               273.40               152.76               188.34                 2.22                30.29                24.12                33.33                 6.27                39.20                98.73                 0.00               142.33                60.05               284.27                63.18                 5.15                 2.43                 7.56
23/11/2024                17.79                59.99                 8.73                75.75                67.15               199.28                81.00               247.58               115.34               362.90               277.74               155.19               160.34                 2.14                26.39                28.98                42.32                 5.50                39.27                95.18                 0.00               131.49                61.13               302.51                62.51                10.33                 4.86                15.14
24/11/2024                16.24                56.61                 8.23                85.39                64.94               218.67                88.88               256.32               142.26               398.26               304.81               170.31               158.95                 2.23                40.88                35.80                44.33                 5.56                39.05                99.34                 0.00               120.98                61.61               240.04                61.25                 9.71                 4.57                14.24
25/11/2024                14.82                52.15                 7.59                78.94                60.32               198.60                80.73               249.09               142.01               505.79               387.11               216.29               156.18                 2.19                54.36                32.36                37.95                 6.80                38.71                97.50                 0.00               111.22                60.70               201.19                60.14                 6.58                 3.09                 9.64
