                      RONDON II        BOA ESPERANCA                SINOP              COLIDER          TELES PIRES           SAO MANOEL               SAMUEL                JIRAU        SANTO ANTONIO             PIMENTAL  STO ANTONIO DO JARI           DARDANELOS              GUAPORE
                            145                  190                  227                  228                  229                  230                  279                  285                  287                  288                  290                  291                  296
                            VNA                  VNA                  VNI                  VNI                  VNI                  VNI                  VNA                  VNI                  VNI                  VNA                  VNA                  VNA                  VNA
25/01/2024               100.20               376.81               705.84                65.57               723.32                06.57               610.30             16714.49              1153.71              4796.37               611.63               154.66                34.27                     
26/01/2024                97.05               398.85               746.24                69.32               758.18                06.89               734.94             17973.42              1253.17              5116.05               588.88               189.78                33.78                     
27/01/2024                90.63               467.67               815.99                75.80               849.57                07.72               833.25             19396.68              1350.45              5486.92               569.15               233.62                33.32                     
28/01/2024                84.46               578.44               903.74                83.95              1052.23                09.56               900.22             20653.03              1438.70              5890.37               568.38               294.87                32.84                     
29/01/2024                80.02               659.04               963.16                89.47              1302.76                11.83               912.49             21811.66              1518.18              6351.38               583.94               333.84                32.40                     
30/01/2024                79.02               658.22               999.44                92.84              1551.99                14.09               927.39             23132.40              1599.75              6857.72               597.00               370.09                32.09                     
31/01/2024                80.44               608.40              1024.09                95.13              1756.93                15.96               971.77             24492.14              1691.71              7412.94               643.00               400.10                32.22                     
01/02/2024                81.99               546.99              1047.59                97.32              1942.53                17.64              1053.39             25660.40              1779.12              8009.98               703.36               423.54                32.30                     
02/02/2024                83.88               495.85              1091.75               101.42              2137.04                19.41              1129.17             26696.09              1872.94              8661.25               728.46               449.97                32.63                     
03/02/2024                89.09               466.88              1166.25               108.34              2284.79                20.75              1186.38             27582.68              1962.30              9347.99               751.16               480.52                33.54                     
04/02/2024                94.85               448.49              1241.68               115.35              2381.49                21.63              1226.58             28479.10              2040.53             10037.91               750.21               518.83                35.48                     
05/02/2024               100.24               440.59              1295.36               120.33              2418.67                21.97              1261.48             29371.42              2121.79             10731.16               746.08               556.34                37.59                     
06/02/2024               102.48               446.53              1340.59               124.54              2445.97                22.21              1292.38             30301.39              2198.64             11444.00               742.53               588.38                39.51                     
07/02/2024               103.25               445.09              1385.25               128.68              2457.38                22.32              1311.94             31154.31              2275.38             12169.62               732.66               614.34                40.79                     
08/02/2024               103.36               434.26              1426.99               132.56              2451.45                22.26              1330.43             31916.60              2351.46             12903.69               718.58               635.78                41.29                     
09/02/2024               102.43               419.69              1461.29               135.75              2448.42                22.24              1348.46             32668.36              2435.00             13665.42               703.51               653.55                41.61                     
10/02/2024               101.23               418.05              1486.72               138.11              2456.99                22.31              1374.25             33602.10              2510.20             14441.35               693.33               669.60                41.69                     
11/02/2024                99.89               431.03              1518.11               141.03              2499.58                22.70              1400.31             34537.15              2580.66             15199.21               690.41               686.54                41.60                     
12/02/2024                98.77               441.77              1564.27               145.31              2548.52                23.15              1424.87             35332.25              2648.37             15948.35               691.11               704.81                41.37                     
