                    I. SOLTEIRA            JURUMIRIM               PIRAJU            CHAVANTES      SALTO GRANDE CS            CANOAS II             CANOAS I   GOV JAYME CANET JR             CAPIVARA            TAQUARUÇU               ROSANA               PEDRAS         GUARAPIRANGA             BILLINGS        BILL E PEDRAS         SAO DOMINGOS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA          TRÊS IRMÃOS     ILHA + T. IRMÃOS                JUPIA      PORTO PRIMAVERA             OURINHOS               ITAIPU
                            034                  047                  048                  049                  050                  051                  052                  057                  061                  062                  063                  116                  117                  118                  119                  154                  160                  161                  237                  238                  239                  240                  242                  243                  244                  245                  246                  249                  266
                            VNI                  VNA                  VNI                  VNI                  VNI                  VNI                  VNI                  VNA                  VNI                  VNI                  VNI                  VNA                  VNA                  VNA                  VNA                  VNA                  VNA                  VNA                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI
24/10/2024               224.34                77.73                 1.63                33.89                45.52                 3.57                 7.61               143.20                90.04                24.17                56.67                13.62                44.17                53.75                67.37                98.36                26.87               368.12                92.22                36.53                70.29                41.92                16.55                14.32                 0.00               310.04               389.44                 1.81              1035.20
25/10/2024               217.98                72.62                 3.69                76.52                62.85                 4.93                10.50               168.26               152.18                26.09                61.17                10.03                32.54                39.59                49.62                92.49                19.79               271.14               147.88                41.75                80.34                57.46                22.68                13.91                 0.00               301.66               391.50                 2.50               990.44
26/10/2024               216.07                91.61                 6.63               137.50                82.51                 6.47                13.79               162.20               281.65                43.21               101.32                10.04                32.56                39.61                49.65                89.21                19.80               271.30               219.29                40.40                77.72                63.04                24.88                13.79                 0.00               296.68               420.66                 3.29              1042.45
27/10/2024               221.50               143.50                 6.25               129.52                89.79                 7.04                15.00               152.99               342.62                52.50               123.09                 8.83                28.64                34.84                43.67                90.04                17.42               238.65               257.93                34.88                67.11                52.29                20.64                14.14                 0.00               295.03               481.59                 3.58              1187.28
28/10/2024               236.36               225.82                 4.83               100.11                84.01                 6.59                14.04               144.53               284.72                42.00                98.47                 6.22                20.18                24.55                30.78                91.81                12.28               168.18               241.29                31.96                61.50                42.03                16.59                15.09                 0.00               300.54               531.28                 3.35              1287.45
29/10/2024               247.90               240.09                 3.68                76.26                73.47                 5.76                12.28               136.76               219.90                33.78                79.21                 4.53                14.68                17.87                22.39                91.06                 8.93               122.37               196.40                19.83                38.14                34.33                13.55                15.82                 0.00               303.45               547.86                 2.93              1271.12
30/10/2024               246.70               207.13                 2.88                59.83                63.27                 4.96                10.57               129.57               173.22                28.94                67.85                 3.62                11.73                14.28                17.90                88.96                 7.14                97.79               157.53                14.77                28.42                28.07                11.08                15.75                 0.00               302.73               543.65                 2.52              1158.14
31/10/2024               234.60               169.73                 2.34                48.61                54.36                 4.26                 9.08               122.93               140.65                26.29                61.64                 2.95                 9.56                11.63                14.58                85.45                 5.82                79.69               128.50                13.05                25.11                23.22                 9.16                14.97                 0.00               294.55               518.80                 2.17              1076.22
01/11/2024               221.03               140.87                 1.97                40.95                47.22                 3.70                 7.89               116.80               117.91                24.87                58.30                 2.53                 8.22                10.00                12.53                82.15                 5.00                68.46               107.54                12.57                24.19                19.65                 7.75                14.11                 0.00               281.69               483.62                 1.88              1015.93
02/11/2024               212.06               119.33                 1.73                35.86                41.58                 3.26                 6.95               111.12               101.98                24.12                56.56                 2.16                 7.00                 8.51                10.67                80.73                 4.26                58.30                93.65                12.62                24.28                19.60                 7.73                13.54                 0.00               269.26               450.45                 1.66               957.51
