                 SANTA CLARA-PR               FUNDÃO               JORDÃO         G. B. MUNHOZ              SEGREDO       SALTO SANTIAGO         SALTO OSORIO         BAIXO IGUACU            SAO ROQUE            GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO          MONTE CLARO         CASTRO ALVES          SALTO PILAO             SAO JOSE       PASSO SAO JOAO            ERNESTINA           PASSO REAL                JACUI               ITAUBA         D. FRANCISCA          G. P. SOUZA         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO         SALTO CAXIAS          14 DE JULHO        QUEBRA QUEIXO       SEGREDO+JORDAO
                            071                  072                  073                  074                  076                  077                  078                  081                  088                  089                  092                  093                  094                  097                  098                  101                  102                  103                  110                  111                  112                  113                  114                  115                  215                  216                  217                  220                  222                  284                  286                  976
                            VNA                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNI                  VNA                  VNA                  VNI                  VNI                  VNA                  VNI                  VNI                  VNI                  VNI                  VNA                  VNA                  VNI                  VNI                  VNI                  VNI                  VNI                  VNA                  VNI
24/10/2024                82.80                 9.11                36.66               565.52               187.74               111.42                44.02               110.87               222.29                49.23               149.10                42.47               110.27                63.86                80.76                61.15               199.06                 7.65                23.60               154.30                 1.06                24.62                27.38                22.66               148.70                26.85                99.85                30.00               277.19                 8.13                65.12                 0.00
25/10/2024               100.46                 9.35                37.64               603.89               192.77               132.64                52.41               131.99               211.92                46.93               168.45                64.06               127.04                71.20               105.24                67.67               193.75                 7.44                35.19               158.20                 1.21                27.98                31.12                19.48               182.04                25.60                96.92                45.26               329.98                 9.07                83.23                 0.00
26/10/2024                92.72                 7.18                28.91               576.37               148.03               114.63                45.29               114.07               238.03                52.72               184.55                57.14               172.06                76.05                99.48                62.62               192.93                 7.41                26.02               150.96                 1.06                24.68                27.45                16.48               179.63                28.76               212.53                40.37               285.18                 9.69                93.39                 0.00
27/10/2024                82.13                 5.93                23.87               536.77               122.24                99.14                39.17                98.65               232.45                51.48               170.82                50.05               154.05                68.96                87.30                57.56               191.81                 7.37                22.36               145.35                 0.96                22.33                24.84                15.35               159.81                28.08               207.70                35.36               246.63                 8.79                84.72                 0.00
28/10/2024                73.82                 5.29                21.28               503.46               108.99                86.99                34.37                86.56               212.67                47.10               156.00                44.96               139.02                63.91                79.79                53.64               187.70                 7.21                20.74               140.96                 0.90                20.97                23.32                14.71               146.63                25.69               159.28                31.76               216.41                 8.14                77.33                 0.00
29/10/2024                67.63                 4.90                19.74               472.33               101.09                77.69                30.70                77.31               195.92                43.39               145.16                41.35               126.92                60.27                74.92                50.66               179.95                 6.91                19.84               137.40                 0.87                20.16                22.42                14.25               138.81                23.67               130.54                29.21               193.28                 7.68                71.23                 0.00
30/10/2024                62.23                 4.60                18.52               437.21                94.82                69.45                27.44                69.12               181.80                40.26               136.04                37.74               116.94                57.58                71.84                48.88               173.57                 6.67                19.19               134.40                 0.85                19.65                21.85                15.18               133.52                21.96               113.82                26.66               172.79                 7.33                66.13                 0.00
31/10/2024                57.89                 4.42                17.78               405.85                91.04                62.66                24.76                62.36               170.57                37.78               128.36                34.83               108.01                55.53                69.07                49.25               168.19                 6.46                18.62               131.76                 0.83                19.30                21.46                14.89               128.46                20.61               103.18                24.60               155.89                 7.07                61.47                 0.00
01/11/2024                54.39                 4.31                17.34               378.54                88.78                56.96                22.51                56.68               161.16                35.69               122.12                32.52               100.50                53.88                66.72                47.42               163.54                 6.28                18.09               129.34                 0.82                19.03                21.16                14.55               123.52                19.47                96.36                22.97               141.70                 6.86                57.47                 0.00
02/11/2024                51.54                 4.27                17.18               354.86                87.97                52.20                20.63                51.95               152.00                33.66               116.96                30.65                94.17                52.50                64.66                45.69               159.40                 6.12                17.56               127.08                 0.81                18.80                20.91                14.71               119.64                18.36                91.82                21.66               129.87                 6.69                54.03                 0.00
