PSATAGV    -19.89  -50.35   0.23   0.00   0.08   2.94   8.21  11.07   7.45  11.95  12.11
PSATCMG    -21.28  -44.63   0.00   2.44  10.38  25.98   6.38   0.76  12.90   7.86   6.44
PSATCES    -20.25  -48.16   0.02   0.05   0.00   2.10   7.08  15.55  14.45  10.57  10.82
PSATELC    -21.60  -46.95   0.00   0.00   0.00   0.10   1.10   7.70  13.60  19.80  12.60
PSATFUN    -21.14  -45.04   0.14   3.00  16.38  26.46   4.18   0.70  18.94   9.28   6.42
PSATFUR    -20.67  -46.32   0.25   1.39  11.17  12.72  11.00   8.57  15.60  15.69   8.94
PSATMRB    -20.30  -49.18   0.45   0.00   0.00   5.28   5.23  10.96   9.95  11.37  16.72
PSATPRG    -21.59  -45.67   0.00   0.00   1.64   2.28   2.66  10.48  16.08  20.06  14.70
PSATPAS    -21.02  -48.18   0.60   0.00   0.01   2.49   1.37  10.40  10.78  17.56  22.20
PSATPTB    -21.61  -45.49   0.00   0.05   7.08  16.00  10.47   6.80  20.98  16.30  12.85
PSATPTC    -20.00  -48.55   0.32   0.44   0.06   5.06   7.04  10.79  11.41   9.78   5.54
PSATFZA    -26.00  -51.65   0.13   0.00   0.00   3.23  13.00   8.07  23.67  27.77  11.90
PSATJSG    -25.78  -52.00   0.77   0.00   0.00   0.10  11.03   7.90  22.67  26.53   7.00
PSATSCX    -25.53  -53.48   0.06   0.00   0.00   0.00   9.81   6.38  10.19  17.97   7.84
PSATSCL    -25.49  -51.74   0.00   0.00   0.00   0.00   7.10  14.00  22.05  18.20  12.80
PSATUVT    -26.23  -51.08   0.02   0.00   0.02   2.29  25.64  11.95  18.44  28.46  14.41
PSATBSM    -24.19  -53.74   0.00   0.00   0.00   0.52  14.80  10.88   8.10  19.75  22.49
PSATFLE    -22.97  -54.56   0.00   0.00   0.00   0.00   2.33   4.13   2.38  13.32  16.44
PSATITP    -25.42  -54.58   0.00   0.00   0.34   0.92   8.94   4.33   4.24  13.61  15.19
PSATIVM    -22.38  -53.53   0.00   1.82   0.01   0.11   8.86   5.58   2.94  13.91  11.63
PSATPTQ    -23.18  -53.17   0.00   0.00   0.22   0.58   8.54  16.11   6.66  19.80  22.16
PSATCBI    -17.99  -48.54  16.23  22.12  11.01  10.88  11.94  17.30  12.78   1.78   2.60
PSATCBIV   -16.15  -48.67  28.54  15.60  17.58  18.66  19.44  19.14  11.38   6.18   1.04
PSATEMB    -18.45  -47.98   5.78  13.85  11.72  10.33  15.25  14.61  14.38   1.28   1.40
PSATIMBR   -18.42  -49.10   4.17  11.58   6.42  10.47  12.18  16.32  12.41   0.81   7.94
PSATNPTE   -19.13  -47.70   0.64   3.23   5.57   6.69  10.56  11.34  12.13   4.24   0.00
PSATARV    -18.07  -50.16  10.09  13.12   5.53  11.51  10.81  19.86  19.82   0.43   9.21
PSATSFC    -18.05  -47.68  16.57  29.98  11.85   8.28   9.62  13.88  13.00   0.12   1.25
PSATSSM    -19.02  -50.50   6.14   8.35   4.90   7.16   7.84  14.56  12.57   2.00   4.28
PSATCNI    -22.94  -50.52   0.00   0.00   4.59   0.41   8.09  15.18   9.17  17.29  14.48
PSATCPV    -22.65  -51.33   0.00   0.00   1.03   0.05   7.06  14.33   6.86  14.91  14.56
PSATCHT    -23.01  -49.73   0.00   0.00   0.28   0.00  18.18  18.70   8.90  16.75  16.25
PSATJUR    -23.22  -49.23   0.00   0.00   0.00   0.00  24.54  20.21  10.17  16.10  19.11
PSATMAU    -24.06  -50.71   0.00   0.00   0.01   0.01  15.41  19.86   8.37  20.56  17.43
PSATROS    -22.50  -52.87   0.00   0.72   1.66   6.39   6.92  12.45   4.67  16.75  15.01
PSATQMD    -16.21  -47.33  29.83  25.83   9.57  14.70  15.90  18.13   6.57   0.00   0.00
PSATRBX    -18.95  -44.76   5.17  11.83  23.67  21.65   2.10   0.97  19.05   3.93   0.93
PSATSFR    -15.93  -44.86  27.25  25.03  12.56  13.19   6.98   5.89   0.39   0.00   0.00
PSATSRM    -16.37  -45.07  29.46  29.46  19.80  15.47   9.39   6.78   4.54   0.47   0.52
PSATTMR    -18.16  -45.27   5.24  18.27  33.88  20.45  13.88   7.77  12.75   4.33   0.98
PSATBOQ    -11.35  -43.83   6.56   2.09   0.66   0.28   0.53   0.23   0.00   0.00   0.00
PSATBBO    -22.52  -48.55   0.00   0.00   0.00   0.33   2.77  12.85   7.19  13.83  20.01
PSATESZ    -23.46  -46.91   0.00   0.00   0.00   0.00   0.00  12.60   4.90   9.80  14.10
PSATIBT    -21.76  -48.99   0.09   0.00   1.51   7.63   1.60  12.46   8.88  17.23  19.24
PSATNAV    -21.12  -50.20   0.00   0.00   0.76   5.80   6.67  11.19   8.34  16.70  18.76
PSATSME    -13.40  -48.30  22.39   8.76   9.62  12.43  14.49  18.16   8.82   2.98   1.23
PSATBGR    -27.78  -51.20   0.00   0.00   0.00  12.94  26.94   6.91   0.10  14.21   9.96
PSATCNV    -27.60  -51.33   0.05   0.00   0.00  13.16  26.64   5.60   1.24  19.66  14.97
PSATFCH    -27.14  -53.04   0.00   0.00   0.00   0.13  16.17   2.87   7.47  30.43  10.00
PSATITA    -27.27  -52.38   0.15   0.00   0.96  13.25  25.42   4.86   1.89  31.50  15.18
PSATMCD    -27.52  -51.78   0.00   0.00   0.60  13.97  29.23   6.33   0.18  34.88  21.35
PSATMOJ    -27.35  -52.73   0.00   0.00   0.10   8.30  22.40   5.10   2.50  37.50  12.20
PSATQQX    -26.66  -52.54   0.55   0.00   0.00   1.05  12.40   3.55  11.90  24.60   6.20
PSATPSJ    -28.14  -55.05   0.01   0.09   0.00  11.57  12.91   2.21   4.36   3.66   2.33
PSATESP    -18.68  -51.87   0.05   2.00  10.30   7.30   9.95  12.20  10.20  13.80   1.35
PSATSRC    -19.16  -50.76   0.32   4.17   9.08   8.97  13.08  12.27  13.87  15.02   2.02
PSATFRCL   -19.12  -50.64   1.72   8.91   8.68  10.48  14.86  13.14  23.25   5.91   1.40
PSATISOT   -20.40  -51.35   0.12   0.14   2.94   3.57   7.65  10.83  11.26  21.25   8.79
PSATJUP    -20.86  -51.63   0.12   0.10   4.48   4.31   7.58  10.11   9.14  17.25   7.92
PSATSDG    -20.06  -53.18   0.00   0.07   3.08   4.37   8.07  13.97   5.78  11.17   5.83
PSATFZBT   -21.66  -52.87   0.00   0.38   0.26   0.99   7.39  11.36   6.18  12.93   9.51
PSATPPRA   -22.46  -52.91   0.00   1.70   2.70   4.89   7.37  10.71   7.51  14.70  10.43
PSATBTE    -13.69  -50.80  19.06  10.16   7.52   9.20  11.28  15.89  19.78   1.26   2.54
PSATARAG    -8.27  -49.26  15.84   6.01   4.81   2.95   7.95   8.63   3.78   2.75   2.59
PSATLAJ     -9.76  -48.37  11.74   7.59   4.16   6.08  11.19   5.83   1.48   1.03   0.26
